parent,child,parent_ar,child_ar
Electronics &amp; Appliances,Heater,أجهزة كهربائية و منزلية,دفايات
Electronics &amp; Appliances,Air Purifier,أجهزة كهربائية و منزلية,منقيات هواء
Electronics &amp; Appliances,Oil Radiator,أجهزة كهربائية و منزلية,مشعاع الزيت
Electronics &amp; Appliances,Cookers,أجهزة كهربائية و منزلية,بوتجازات 
Electronics &amp; Appliances,Hoods,أجهزة كهربائية و منزلية,شفاطات
Electronics &amp; Appliances,Fridge,أجهزة كهربائية و منزلية,ثلاجات
Electronics &amp; Appliances,Freezers,أجهزة كهربائية و منزلية,فريزر
Electronics &amp; Appliances,Water Despenser,أجهزة كهربائية و منزلية,مبردات مياه
Electronics &amp; Appliances,Microwaves,أجهزة كهربائية و منزلية,ميكروويف
Electronics &amp; Appliances,Toasters,أجهزة كهربائية و منزلية,توستر
Electronics &amp; Appliances,Ovens,أجهزة كهربائية و منزلية,أفران
Electronics &amp; Appliances,Coffee Makers,أجهزة كهربائية و منزلية,محضر قهوة
Electronics &amp; Appliances,Kettles,أجهزة كهربائية و منزلية,غلايات
Electronics &amp; Appliances,Food Proccessor &amp; Blenders,أجهزة كهربائية و منزلية,محضر الطعام وخلاطات
Electronics &amp; Appliances,Juicers,أجهزة كهربائية و منزلية,عصارات
Electronics &amp; Appliances,Fryers,أجهزة كهربائية و منزلية,قليات 
Electronics &amp; Appliances,Rice Cooker,أجهزة كهربائية و منزلية, حلل أرز
Electronics &amp; Appliances,Grills,أجهزة كهربائية و منزلية,شوايات
Electronics &amp; Appliances,Kitchen Scales,أجهزة كهربائية و منزلية,ميزان مطبخ
Electronics &amp; Appliances,Can Opener,أجهزة كهربائية و منزلية,فتاحات
Electronics &amp; Appliances,"Yoghurt, Ice-Cream, Popcorn &amp; Waffle",أجهزة كهربائية و منزلية,منتجات صناعة الزبادي
Electronics &amp; Appliances,Hair Care,أجهزة كهربائية و منزلية,العناية بالشعر
Electronics &amp; Appliances,Shaver,أجهزة كهربائية و منزلية,ماكينات الحلاقة 
Electronics &amp; Appliances,Epilator,أجهزة كهربائية و منزلية,ماكينات إزالة الشعر 
Electronics &amp; Appliances,Electric Tooth Brush,أجهزة كهربائية و منزلية,فرشاة أسنان كهربائية
Electronics &amp; Appliances,Personal Scales,أجهزة كهربائية و منزلية,ميزان 
Electronics &amp; Appliances,Blood Pressure Monitor,أجهزة كهربائية و منزلية,منتجات قياس الضغط
Electronics &amp; Appliances,Foot Spa,أجهزة كهربائية و منزلية,منتجات العناية بالقدم 
Pets,,منتجات الحيوانات الأليفة,
Diet,,ريجيم,
Healthy Club,,المنتجات الصحية,
Ramadan Offers,,عروض رمضان,
Ramadan Essentials,,منتجات رمضان,
Yameesh Ramadan,,ياميش رمضان,
